Drug ID,Target ID,ChEMBL,DrugBank,KEGG,KEGGhsa,SuperTarget,Checked
D00107,hsa2280,C,D,,,,T
D00168,hsa5422,C,,,,,T
D00169,hsa240,C,D,,,,T
D00448,hsa5743,C,D,,,,T
D00448,hsa5742,C,D,,,,T
D00501,hsa5150,C,,,,,T
D01828,hsa5144,C,,,,,T
D01828,hsa5141,C,,,,,T
D01828,hsa5143,C,,,,,T
D01828,hsa5142,C,,,,,T
D01907,hsa6241,C,,,,,T
D01907,hsa50484,C,,,,,T
D02068,hsa590,C,D,,,S,T
D02341,hsa240,C,D,,,S,T
D02368,hsa6241,C,,,,,T
D02368,hsa5422,C,,,,,T
D02368,hsa50484,C,,,,,T
D02441,hsa771,C,,K,K,S,T
D02441,hsa377677,C,,K,K,,T
D02441,hsa768,C,,K,K,S,T
D02441,hsa766,C,D,K,K,,T
D02441,hsa765,C,,K,K,,T
D02441,hsa763,C,,K,K,,T
D02441,hsa762,C,D,K,K,S,T
D02441,hsa761,C,D,K,K,,T
D02441,hsa760,C,D,K,K,S,T
D02441,hsa23632,C,,K,K,,T
D02441,hsa11238,C,,K,K,,T
D03252,hsa3055,C,,,,S,T
D03252,hsa6714,C,,K,K,S,T
D03252,hsa25,C,,K,K,S,T
D03252,hsa4067,C,,,,,T
D03828,hsa1719,C,D,K,K,,T
D05353,hsa495,C,D,K,K,S,T
D00002,hsa8854,,D,,,,T
D00007,hsa2058,,D,,,S,T
D00007,hsa6898,,D,,,S,T
D00007,hsa587,,D,,,S,T
D00007,hsa2677,,D,,,,T
D00007,hsa2806,,D,,,,T
D00014,hsa2880,,D,,,S,T
D00014,hsa2876,,D,,,,T
D00014,hsa2877,,D,,,,T
D00014,hsa2878,,D,,,S,T
D00014,hsa1576,,D,,,,T
D00014,hsa231,,D,,,,T
D00014,hsa2098,,D,,,,T
D00029,hsa1545,,D,,,S,T
D00035,hsa5479,,D,,,S,T
D00035,hsa5478,,D,,,S,T
D00035,hsa5033,,D,,,S,T
D00036,hsa1571,,D,,,S,T
D00036,hsa1565,,D,,,S,T
D00036,hsa1576,,D,,,S,T
D00036,hsa3939,,D,,,,T
D00037,hsa353,,D,,,,T
D00037,hsa6714,,D,,,,T
D00045,hsa132,,D,,,S,T
D00045,hsa100,,D,,,,T
D00049,hsa1565,,D,,,S,T
D00050,hsa4128,,D,,,,T
D00070,hsa1571,,D,,,S,T
D00086,hsa5447,,D,,,,T
D00094,hsa1551,,D,,,,T
D00094,hsa1543,,D,,,,T
D00094,hsa1555,,D,,,S,T
D00094,hsa1558,,D,,,S,T
D00094,hsa1559,,D,,,S,T
D00094,hsa1548,,D,,,S,T
D00094,hsa1562,,D,,,,T
D00094,hsa1576,,D,,,,T
D00094,hsa1577,,D,,,,T
D00097,hsa5743,,D,,,S,T
D00097,hsa1645,,D,,,,T
D00097,hsa1559,,D,,,,T
D00107,hsa1551,,D,K,,,T
D00107,hsa1576,,D,K,,,T
D00107,hsa1577,,D,K,,,T
D00109,hsa1645,,D,,,,T
D00109,hsa1557,,D,,,S,T
D00109,hsa1558,,D,,,S,T
D00109,hsa1559,,D,,,S,T
D00109,hsa5562,,D,,,,T
D00109,hsa3551,,D,,,,T
D00118,hsa54658,,D,,,,T
D00118,hsa1544,,D,,,S,T
D00118,hsa1558,,D,,,S,T
D00118,hsa1559,,D,,,S,T
D00118,hsa7364,,D,,,,T
D00120,hsa231,,D,,,,T
D00120,hsa1544,,D,,,S,T
D00120,hsa57016,,D,,,,T
D00120,hsa1543,,D,,,S,T
D00120,hsa5595,,D,,,S,T
D00125,hsa54658,,D,,,,T
D00125,hsa1544,,D,,,S,T
D00125,hsa1558,,D,,,S,T
D00125,hsa5743,,D,,,,T
D00125,hsa5742,,D,,,,T
D00125,hsa1571,,D,,,S,T
D00125,hsa2950,,D,,,,T
D00125,hsa1576,,D,,,S,T
D00125,hsa1577,,D,,,S,T
D00126,hsa54658,,D,,,,T
D00126,hsa54659,,D,,,,T
D00126,hsa1557,,D,,,S,T
D00126,hsa54600,,D,,,,T
D00126,hsa7363,,D,,,,T
D00126,hsa1558,,D,,,S,T
D00126,hsa7364,,D,,,,T
D00126,hsa5327,,D,,,,T
D00127,hsa1558,,D,,,,T
D00127,hsa1559,,D,K,,,T
D00129,hsa2638,,D,,,,T
D00129,hsa1576,,D,,,,T
D00130,hsa54576,,D,,,,T
D00131,hsa1544,,D,K,,S,T
D00131,hsa1559,,D,,,S,T
D00131,hsa1576,,D,,,S,T
D00131,hsa1577,,D,,,S,T
D00132,hsa54658,,D,,,,T
D00132,hsa1558,,D,,,S,T
D00132,hsa1559,,D,,,S,T
D00136,hsa1544,,D,,,S,T
D00136,hsa1551,,D,,,S,T
D00136,hsa1557,,D,,,,T
D00136,hsa1543,,D,,,S,T
D00136,hsa54600,,D,,,,T
D00136,hsa1559,,D,,,S,T
D00136,hsa1565,,D,K,,S,T
D00136,hsa1577,,D,,,S,T
D00141,hsa54658,,D,,,,T
D00141,hsa1557,,D,,,S,T
D00141,hsa54600,,D,,,,T
D00141,hsa1559,,D,,,S,T
D00141,hsa7364,,D,,,,T
D00141,hsa5320,,D,,,,T
D00142,hsa8836,,D,,,S,T
D00142,hsa7298,,D,,,S,T
D00142,hsa1576,,D,,,,T
D00142,hsa2356,,D,,,S,T
D00145,hsa1558,,D,K,,S,T
D00145,hsa1559,,D,,,S,T
D00145,hsa7298,,D,,,,T
D00145,hsa1576,,D,,,S,T
D00151,hsa1558,,D,,,S,T
D00151,hsa1559,,D,K,,S,T
D00158,hsa4353,,D,,,,T
D00184,hsa1551,,D,,,,T
D00184,hsa1557,,D,,,,T
D00184,hsa1558,,D,,,,T
D00184,hsa1559,,D,,,,T
D00184,hsa1565,,D,,,,T
D00184,hsa5478,,D,,,S,T
D00184,hsa1576,,D,K,,,T
D00184,hsa1577,,D,,,,T
D00186,hsa1544,,D,K,,S,T
D00186,hsa1551,,D,,,,T
D00186,hsa1576,,D,,,S,T
D00186,hsa1577,,D,,,,T
D00187,hsa1593,,D,,,,T
D00187,hsa1576,,D,,,,T
D00188,hsa1557,,D,,,,T
D00188,hsa1543,,D,,,,T
D00188,hsa1555,,D,,,,T
D00188,hsa1583,,D,,,,T
D00188,hsa1559,,D,,,,T
D00188,hsa2638,,D,,,,T
D00188,hsa1565,,D,,,,T
D00188,hsa1573,,D,,,,T
D00188,hsa1558,,D,,,,T
D00188,hsa1576,,D,,,,T
D00203,hsa1576,,D,,,,T
D00217,hsa54658,,D,,,S,T
D00217,hsa10,,D,,,,T
D00217,hsa54600,,D,,,S,T
D00217,hsa1558,,D,,,S,T
D00217,hsa1559,,D,,,S,T
D00217,hsa7366,,D,,,,T
D00217,hsa1548,,D,,,S,T
D00217,hsa54578,,D,,,S,T
D00217,hsa1576,,D,,,S,T
D00217,hsa2950,,D,,,,T
D00218,hsa1576,,D,,,S,T
D00219,hsa1559,,D,,,,T
D00222,hsa1544,,D,,,,T
D00227,hsa1544,,D,K,,S,T
