Drug ID,Target ID,ChEMBL,DrugBank,KEGG,KEGGhsa,SuperTarget,Checked
D00059,hsa1814,C,D,K,K,,T
D00079,hsa5732,C,D,K,K,S,T
D00079,hsa5733,C,D,,,S,T
D00079,hsa5731,C,D,,,S,T
D00095,hsa155,C,D,K,K,,T
D00095,hsa147,C,D,K,K,,T
D00095,hsa151,C,D,K,K,,T
D00095,hsa152,C,D,K,K,S,T
D00095,hsa150,C,D,K,K,,T
D00095,hsa146,C,D,K,K,,T
D00106,hsa5739,C,D,K,K,S,T
D00136,hsa3356,C,D,,,S,T
D00136,hsa1815,C,,,,S,T
D00227,hsa136,C,,K,K,,T
D00270,hsa1815,C,D,,,,T
D00371,hsa134,C,D,K,K,S,T
D00371,hsa140,C,,,,S,T
D00371,hsa135,C,D,,,S,T
D00394,hsa147,C,,,,,T
D00394,hsa146,C,,,,,T
D00394,hsa148,C,,,,,T
D00394,hsa3356,C,D,,,,T
D00394,hsa1813,C,D,,,,T
D00394,hsa3269,C,,,,,T
D00394,hsa3358,C,D,,,,T
D00397,hsa1131,C,D,K,K,,T
D00426,hsa1813,C,D,K,K,S,T
D00426,hsa3358,C,D,,,S,T
D00465,hsa1131,C,D,K,K,S,T
D00514,hsa151,C,,K,K,,T
D00514,hsa152,C,,K,K,,T
D00524,hsa1131,C,D,K,K,S,T
D00525,hsa1131,C,D,K,K,S,T
D00540,hsa1131,C,D,K,K,,T
D00559,hsa1815,C,D,K,K,,T
D00559,hsa1813,C,D,K,K,,T
D00560,hsa3356,C,,,,,T
D00560,hsa1815,C,,,,,T
D00563,hsa152,C,D,K,K,S,T
D00646,hsa1131,C,D,K,K,S,T
D00674,hsa3352,C,D,K,K,,T
D00674,hsa3351,C,D,K,K,,T
D00682,hsa5737,C,,K,K,,T
D00780,hsa1815,C,D,,,,T
D00780,hsa1814,C,D,,,,T
D00790,hsa3356,C,D,,,S,T
D00790,hsa1814,C,D,,,S,T
D00790,hsa3358,C,D,,,S,T
D01103,hsa1131,C,,K,K,,T
D01103,hsa1129,C,,K,K,,T
D01269,hsa1131,C,D,K,K,S,T
D01269,hsa1129,C,D,,,,T
D01692,hsa147,C,D,,,,T
D01692,hsa146,C,D,,,,T
D01699,hsa1129,C,D,,,,T
D01871,hsa3358,C,,,,,T
D02340,hsa1815,C,D,,,S,T
D02340,hsa3358,C,D,,,,T
D02349,hsa154,C,D,K,K,,T
D02349,hsa155,C,,K,K,,T
D02349,hsa147,C,,K,K,,T
