Drug ID,Target ID,ChEMBL,DrugBank,KEGG,KEGGhsa,SuperTarget,Checked
D00219,hsa6833,C,,K,K,,T
D00219,hsa3767,C,,,,,T
D00252,hsa6335,C,,K,K,S,T
D00252,hsa6334,C,,K,K,,T
D00252,hsa11280,C,,K,K,,T
D00252,hsa6326,C,,K,K,,T
D00252,hsa6323,C,,K,K,,T
D00294,hsa3767,C,D,K,K,S,T
D00303,hsa6335,C,,K,K,,T
D00303,hsa6334,C,,K,K,,T
D00303,hsa11280,C,,K,K,,T
D00303,hsa6326,C,,K,K,,T
D00303,hsa6323,C,,K,K,,T
D00326,hsa6532,C,D,K,K,S,T
D00335,hsa6833,C,D,K,K,,T
D00336,hsa3767,C,D,K,K,S,T
D00338,hsa2558,C,D,K,K,,T
D00338,hsa2557,C,D,K,K,,T
D00338,hsa2556,C,D,K,K,,T
D00338,hsa2555,C,D,K,K,,T
D00338,hsa2562,C,D,K,K,,T
D00338,hsa2563,C,D,K,K,,T
D00338,hsa2560,C,D,K,K,,T
D00338,hsa2561,C,D,K,K,,T
D00338,hsa2566,C,D,K,K,,T
D00338,hsa2567,C,D,K,K,,T
D00338,hsa2564,C,D,K,K,,T
D00338,hsa2559,C,D,K,K,,T
D00338,hsa55879,C,D,K,K,,T
D00354,hsa6336,C,,K,K,S,T
D00354,hsa11280,C,,K,K,,T
D00354,hsa6332,C,,,,,T
D00358,hsa11280,C,,K,K,,T
D00358,hsa6332,C,,,,,T
D00367,hsa6532,C,D,K,K,S,T
D00379,hsa6833,C,D,K,K,,T
D00380,hsa3767,C,,K,K,S,T
D00392,hsa8911,C,,,,,T
D00392,hsa8912,C,,,,,T
D00418,hsa3767,C,,K,K,,T
D00418,hsa10060,C,,,,,T
D00438,hsa779,C,D,K,K,,T
D00464,hsa2558,C,D,K,K,,T
D00464,hsa2557,C,D,K,K,,T
D00464,hsa2556,C,D,K,K,,T
D00464,hsa2555,C,D,K,K,,T
D00464,hsa2562,C,D,K,K,,T
D00464,hsa2563,C,D,K,K,,T
D00464,hsa2560,C,D,K,K,,T
D00464,hsa2561,C,D,K,K,,T
D00464,hsa2566,C,D,K,K,,T
D00464,hsa2567,C,D,K,K,,T
D00464,hsa2564,C,D,K,K,,T
D00464,hsa2559,C,D,K,K,,T
D00464,hsa55879,C,,K,K,,T
D00474,hsa2557,C,D,,,,T
D00474,hsa2556,C,D,,,,T
D00474,hsa2555,C,D,,,,T
D00474,hsa2559,C,D,,,,T
D00474,hsa2558,C,D,,,,T
D00474,hsa6335,C,,,,,T
D00474,hsa6334,C,,,,,T
D00474,hsa6332,C,,,,,T
D00474,hsa6331,C,,,,,T
D00474,hsa55879,C,,,,,T
D00474,hsa2562,C,D,,,,T
D00474,hsa2563,C,D,,,,T
D00474,hsa2560,C,D,,,,T
D00474,hsa2561,C,D,,,,T
D00474,hsa2566,C,D,,,,T
D00474,hsa2567,C,,,,,T
D00474,hsa2564,C,D,,,,T
D00474,hsa6326,C,,,,,T
D00474,hsa11280,C,,,,,T
D00474,hsa6323,C,,,,,T
D00474,hsa6328,C,,,,,T
D00474,hsa6329,C,,,,,T
D00477,hsa6336,C,,K,K,,T
D00477,hsa11280,C,,K,K,,T
D00477,hsa6332,C,,,,,T
D00495,hsa8913,C,,,,,T
